YEAR,TOTAL VIOLATIONS,CAMERAS ADDED,TOTAL CAMERAS LIVE
2014,17054.0,100.0,142.0
2015,37872.0,7.0,149.0
2016,38998.0,0.0,149.0
2017,38346.0,0.0,149.0
2018,39234.0,12.0,161.0
